Date,Close
18/01/2018,560.900024
19/01/2018,552.200012
22/01/2018,561.700012
23/01/2018,578
24/01/2018,573
25/01/2018,571.5
29/01/2018,556.25
30/01/2018,551
31/01/2018,537
01/02/2018,537.650024
02/02/2018,527
05/02/2018,505
06/02/2018,497.5
07/02/2018,509
08/02/2018,503.5
09/02/2018,505
12/02/2018,518.75
14/02/2018,527
15/02/2018,528
16/02/2018,531
19/02/2018,521.5
20/02/2018,515.5
21/02/2018,517.799988
22/02/2018,513
23/02/2018,509
26/02/2018,520
27/02/2018,516.299988
28/02/2018,506.5
01/03/2018,505
05/03/2018,505
06/03/2018,518.849976
07/03/2018,514.900024
08/03/2018,496
09/03/2018,486
12/03/2018,489.75
13/03/2018,491.899994
14/03/2018,508.5
15/03/2018,518.950012
16/03/2018,521
19/03/2018,515.700012
20/03/2018,509.25
21/03/2018,524.349976
22/03/2018,521.900024
23/03/2018,515.25
26/03/2018,521
27/03/2018,547.950012
28/03/2018,549.849976
02/04/2018,537
03/04/2018,540
04/04/2018,556.25
05/04/2018,548
06/04/2018,562
09/04/2018,562.799988
10/04/2018,563.599976
11/04/2018,558.5
12/04/2018,557.700012
13/04/2018,548
16/04/2018,554.950012
17/04/2018,560.450012
18/04/2018,565.200012
19/04/2018,560.599976
20/04/2018,550
23/04/2018,540
24/04/2018,540
25/04/2018,542.700012
26/04/2018,546
27/04/2018,548
30/04/2018,545.5
02/05/2018,548.5
03/05/2018,536.5
04/05/2018,522
07/05/2018,518.599976
08/05/2018,518.900024
09/05/2018,511.100006
10/05/2018,507.100006
11/05/2018,500
14/05/2018,502.75
15/05/2018,502.399994
16/05/2018,498.899994
17/05/2018,498.899994
18/05/2018,493.200012
21/05/2018,480
22/05/2018,474.600006
23/05/2018,480.299988
24/05/2018,475.549988
25/05/2018,472.399994
28/05/2018,486.950012
29/05/2018,498.049988
30/05/2018,485.049988
31/05/2018,479.100006
01/06/2018,477
04/06/2018,479.450012
05/06/2018,474.100006
06/06/2018,480
07/06/2018,487.25
08/06/2018,490.899994
11/06/2018,501.5
12/06/2018,498.5
13/06/2018,505.75
14/06/2018,495.899994
15/06/2018,494.899994
18/06/2018,496
19/06/2018,501
20/06/2018,490.100006
21/06/2018,495
22/06/2018,502
